"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","response","item","condition","word","word_index","word_count","too_fast","too_slow","correct_answer","correct"
"","98","spr_word","html-keyboard-response","100","30718","0.0-188.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- -------- ---------- ------- ---- --- --- --- ----- --- --- ---- ----- be --- ---- --- ----- ---- ------- ----------</p></div>"," ","1","specific_him","be","20","28","true","false","",""
"","125","spr_word","html-keyboard-response","101","30843","0.0-190.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- -------- ---------- ------- ---- --- --- --- ----- --- --- ---- ----- -- him ---- --- ----- ---- ------- ----------</p></div>"," ","1","specific_him","him","21","28","false","false","",""
"","99","spr_word","html-keyboard-response","102","30942","0.0-192.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- -------- ---------- ------- ---- --- --- --- ----- --- --- ---- ----- -- --- when --- ----- ---- ------- ----------</p></div>"," ","1","specific_him","when","22","28","true","false","",""
"","116","spr_word","html-keyboard-response","103","31059","0.0-194.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- -------- ---------- ------- ---- --- --- --- ----- --- --- ---- ----- -- --- ---- the ----- ---- ------- ----------</p></div>"," ","1","specific_him","the","23","28","false","false","",""
"","102","spr_word","html-keyboard-response","104","31161","0.0-196.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- -------- ---------- ------- ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- times ---- ------- ----------</p></div>"," ","1","specific_him","times","24","28","false","false","",""
"","118","spr_word","html-keyboard-response","105","31280","0.0-198.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- -------- ---------- ------- ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- ----- were ------- ----------</p></div>"," ","1","specific_him","were","25","28","false","false","",""
"","96","spr_word","html-keyboard-response","106","31376","0.0-200.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- -------- ---------- ------- ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- ----- ---- finally ----------</p></div>"," ","1","specific_him","finally","26","28","true","false","",""
"","108","spr_word","html-keyboard-response","107","31485","0.0-202.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- -------- ---------- ------- ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- ----- ---- ------- announced.</p></div>"," ","1","specific_him","announced.","27","28","false","false","",""
"","824","comprehension","html-button-response","108","32310","0.0-204.0","wn48bxk6","<div><p>This is a comprehension question!</p></div>","1","","","","","","","","No","true"
"","null","","html-keyboard-response","109","32811","0.0-205.0","wn48bxk6","<span class=""fixation"">+</span>","null","","","","","","","","",""
"","321","","html-keyboard-response","110","33132","0.0-206.0","wn48bxk6","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","","",""
"","118","spr_word","html-keyboard-response","111","33250","0.0-207.0","wn48bxk6","<div class=""spr_word""><p>Just --- ---------- ----- ------- --- -------- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","Just","0","12","false","false","",""
"","96","spr_word","html-keyboard-response","112","33346","0.0-209.0","wn48bxk6","<div class=""spr_word""><p>---- one ---------- ----- ------- --- -------- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","one","1","12","true","false","",""
"","151","spr_word","html-keyboard-response","113","33498","0.0-211.0","wn48bxk6","<div class=""spr_word""><p>---- --- grandchild ----- ------- --- -------- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","grandchild","2","12","false","false","",""
"","211","spr_word","html-keyboard-response","114","33710","0.0-213.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- could ------- --- -------- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","could","3","12","false","false","",""
"","122","spr_word","html-keyboard-response","115","33832","0.0-215.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- inherit --- -------- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","inherit","4","12","false","false","",""
"","100","spr_word","html-keyboard-response","116","33933","0.0-217.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- the -------- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","the","5","12","false","false","",""
"","151","spr_word","html-keyboard-response","117","34085","0.0-219.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- jewelry. --- ------- --- ---- ---------</p></div>"," ","1","generic_him","jewelry.","6","12","false","false","",""
"","205","spr_word","html-keyboard-response","118","34291","0.0-221.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- TBD ------- --- ---- ---------</p></div>"," ","1","generic_him","TBD","7","12","false","false","",""
"","212","spr_word","html-keyboard-response","119","34503","0.0-223.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- stimuli --- ---- ---------</p></div>"," ","1","generic_him","stimuli","8","12","false","false","",""
"","209","spr_word","html-keyboard-response","120","34713","0.0-225.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- ------- for ---- ---------</p></div>"," ","1","generic_him","for","9","12","false","false","",""
"","98","spr_word","html-keyboard-response","121","34812","0.0-227.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- ------- --- this ---------</p></div>"," ","1","generic_him","this","10","12","true","false","",""
"","108","spr_word","html-keyboard-response","122","34920","0.0-229.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- ------- --- ---- sentence.</p></div>"," ","1","generic_him","sentence.","11","12","false","false","",""
"","777","comprehension","html-button-response","123","35698","0.0-231.0","wn48bxk6","<div><p>This is a comprehension question!</p></div>","1","","","","","","","","No","true"
"","null","","html-keyboard-response","124","36199","0.0-232.0","wn48bxk6","<span class=""fixation"">+</span>","null","","","","","","","","",""
"","264","","html-keyboard-response","125","36464","0.0-233.0","wn48bxk6","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","","",""
"","229","spr_word","html-keyboard-response","126","36693","0.0-234.0","wn48bxk6","<div class=""spr_word""><p>Only --- ---------- ----- --- --- ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_they","Only","0","12","false","false","",""
"","104","spr_word","html-keyboard-response","127","36798","0.0-236.0","wn48bxk6","<div class=""spr_word""><p>---- one ---------- ----- --- --- ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_they","one","1","12","false","false","",""
"","91","spr_word","html-keyboard-response","128","36889","0.0-238.0","wn48bxk6","<div class=""spr_word""><p>---- --- competitor ----- --- --- ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_they","competitor","2","12","true","false","",""
"","124","spr_word","html-keyboard-response","129","37013","0.0-240.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- could --- --- ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_they","could","3","12","false","false","",""
"","95","spr_word","html-keyboard-response","130","37108","0.0-242.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- win --- ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_they","win","4","12","true","false","",""
"","132","spr_word","html-keyboard-response","131","37240","0.0-244.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- the ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_they","the","5","12","false","false","",""
"","85","spr_word","html-keyboard-response","132","37325","0.0-246.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- race. --- ------- --- ---- ---------</p></div>"," ","1","generic_they","race.","6","12","true","false","",""
